# 8万精准超小词库
# 原始出处未知，多音字注音移除，第一个词“是的这个”改成“是的”
# https://github.com/studyzy/imewlconverter/blob/master/参考/8万精准超小词库.txt
#
# 词语	多音字备注

赌客	
竹筷	
绑腿	
交媾	
并吞	
火头	
努嘴	
卷动	
除根	
刀工	
笤帚	
蝶泳	
足跟	
仓廪	
帅才	
墩子	
照说	说shuo
脏手	
挨近	
熟谙	熟shu
攀亲	亲qin
纳妾	
旷古	
鹿肉	
鸭绒	
谢客	
更稳	
怒涛	
好软	
豪富	
窘困	
朝服	朝chao
堂妹	
库藏	藏cang
面糊	
高妙	
荒丘	
墨家	家jia
狗命	
母舰	
更白	
美钞	
均摊	
垫款	
汤剂	汤tang
深恐	
孤高	
心狠	
投河	
谷仓	谷gu
云头	
贤臣	
门闩	
灭族	
横越	
粗线	
压断	
两联	
拐子	
仲春	
治丧	
走卒	卒zu
棚屋	
铺砌	砌qi
怕鬼	
腻歪	
发榜	
空喊	
奴家	家jia
查票	查cha
养鸟	鸟niao
应诺	
相帮	
茅厕	
水洼	
珍闻	
浅陋	浅qian
托举	
炒米	
末流	
眼白	
逃荒	
冠词	
羽坛	
创痛	
撒气	
行藏	行xing|藏cang
捶背	
着忙	着zhao
舱盖	盖gai
乖戾	
党纲	
查究	查cha
展台	
充军	
探身	
钢水	
观赛	
震波	
走形	
尊号	
蝗灾	
略懂	
哨音	
匆促	
猜度	度duo
草垛	
世仇	仇chou
砖窑	
扫来	
电闸	
爽直	
镖头	
捆着	着zhe
欧化	
暗娼	
恶少	恶e
木筏	
公判	
排华	
片警	
弄通	弄nong
土炕	
抢亲	亲qin
年息	
闰月	
窘况	
荡平	
卖笑	
文斗	
黑奴	
拒接	
斜杠	
借光	
侵夺	
垂暮	
淌血	血xue
拐棍	
好凶	
挺秀	
后效	
侍弄	弄nong
运笔	
脑髓	
踏春	
催讨	
哨卡	卡qia
舷窗	
名手	
老辈	
通兑	
毡帽	
拉货	
残羹	
初会	会hui
屯子	屯tun
等腰	
伦常	
教室	
诡诈	
紫黑	
厚葬	
当啷	
咋啦	咋za
顺遂	
娘儿	
软毛	
血泡	血xue
狂涛	
吭气	吭keng
如常	
外心	
编舞	
叩谢	
押往	
窃密	
绵亘	
错认	
盛饭	盛cheng
樊笼	
女家	家jia
炮楼	炮pao
恼恨	
被秒	
根苗	
侨汇	
色弱	色se
老拳	
澡盆	
猛刺	
归降	降xiang
回门	
魁首	
求利	
左脑	
病退	
协约	约yue
说亲	说shuo|亲qin
选词	
磅秤	磅bang|秤cheng
会餐	会hui
丢官	
偷猎	
累月	
贪色	色se
舢板	
主婚	
才略	
漏勺	
赌咒	
失准	
恶疾	恶e
旁门	
太婆	
感佩	
更弱	
喧嚷	
发套	
切题	
露富	露lou
肉盾	
代培	
毛选	
微雕	
女眷	
入赘	
谋和	和he
耐穿	
穷于	
够本	
酒徒	
独苗	
语序	
蕴藉	藉jie
惶急	
怒色	色se
特出	
田产	
殿军	
小费	
圣坛	
铁掌	
阴曹	
印错	
涮锅	
冤仇	仇chou
营垒	
走险	
壮歌	
家贼	家jia
阳宅	
冻裂	
短打	
连缀	
残生	
守岁	
说戏	说shuo|戏xi
隘口	
暖瓶	
虬髯	
女客	
绕场	
快信	
求亲	亲qin
气团	
脸盘	
盲童	
希求	
认路	
伪钞	
的心	的de
怨女	
信笔	
锈斑	
炮仗	炮pao
湘绣	
下工	
谐谑	
贵干	
坏透	坏huai
壶盖	盖gai
训令	
冷箭	
漏检	
查岗	查cha
毛躁	
书亭	
修书	
承欢	
丑剧	
铁砂	
货郎	
鱼卵	
信札	
供桌	
短传	传chuan
从略	
劣绅	
讹来	
顺次	
落枕	落lao
浊流	
灶神	
共作	
弱女	
穷寇	
罡风	
疯病	
伙房	房fang
冷盘	
投亲	亲qin
词牌	
吭哧	吭keng
肃反	
衙内	
字旁	
脱稿	
谋臣	
纲纪	
探监	
牵累	
沈括	括kuo
宝盖	盖gai
船模	模mo
荤腥	荤hun
药棉	
重码	重chong
框子	
印堂	
邪路	邪xie
催逼	
校订	校jiao
赎买	
灭种	种zhong
烧炭	
娇宠	
小僧	
粗豪	
指使	
仓颉	颉jie
冬运	
退赃	
落潮	落luo
涂色	色se
夜车	车che
好脸	
烧心	
正西	
椎骨	椎zhui
败阵	
烧荒	
顶戴	
诗抄	
摘译	
祖业	
呆傻	
跌伤	
词缀	
调职	调diao
真少	
咂嘴	
的人	的de
致使	
姿势	
商务	
登陆	陆lu
人物	
指导	
主意	
之时	
人事	
事件	
事务	
等级	
涉及	
人士	
搞的	的de
相继	
现实	
魅力	
统一	
同志	
纪念	
又是	
回忆	
成人	
一致	
仪器	
哪些	哪na
搞笑	
美食	食shi
防治	
仪式	
师范	
以为	
权力	
优先	
一句	句ju
资助	
法治	
神话	
以此	
五十	
正是	
央视	
异常	
医科	
院士	
消化	
导师	
一半	
颁发	
伤害	
同事	
延长	长chang
答复	
弱势	
实业	
音像	
坚定	
新人	
一轮	
器件	
发自	
估价	价jia
缓解	解jie
克服	
微型	
护士	
泰国	
防盗	
电机	
杰出	
适宜	适shi
地域	地di
首发	
友谊	
医生	
过渡	
共计	
势力	
剂量	
远离	
一大	大da
大使	大da
充足	
良性	
启示	
每人	
派出	派pai
战士	
叹了	了le
一首	
使人	
出手	
十佳	
哥哥	
不幸	
已达	
清醒	
不便	便bian
未有	
智慧	
严厉	
知己	
低端	
监狱	
之王	
富裕	
眼镜	
樱花	
光华	
加剧	
每位	
一遍	
得以	得de
召集	召zhao
吻合	合he
似的	似shi|的de
药店	
年纪	
妊娠	
关税	
就放	
不已	
意愿	
声称	称cheng
升华	
同胞	
得意	得de
遗忘	遗yi
自豪	
起伏	
低压	
机能	
高雅	
威力	
历届	
注目	
敢于	
减免	
启事	
致死	
发掘	
魔兽	
低下	
可观	
写到	
迈出	
美德	
将近	
任期	期qi
酒精	
诚挚	
新意	
获利	
联通	
顽固	
国旗	
潮湿	
死的	的de
总署	
响了	了le
延误	
离奇	奇qi
悉尼	
痛心	
灾区	区qu
巴士	
顾及	
琉璃	
功课	
值钱	
显眼	
同龄	
全县	
小声	
位移	
案子	
由来	
建交	
暗访	
深信	
通航	
抢手	
大汉	大da
三中	
这事	这zhe
李白	
几经	
懈怠	
见她	见jian
必经	
解体	解jie
补习	
克制	
多远	
忌讳	
木制	
嘱咐	
奔向	
想得	得de
屹立	屹yi
问号	
质问	
仅此	
警钟	
争辩	
做着	着zhe
反问	
预想	
行径	行xing
吆喝	
胃炎	
错失	
羁押	
卑鄙	
偷袭	
用功	
打人	
摆了	了le
惊异	
恭敬	
回过	
恶毒	恶e
唱了	了le
等得	得de
望了	了le
隔了	了le
信守	
证言	
深重	重zhong
寻思	寻xun|思si
手印	
巾帼	
变好	
双全	
保释	
路滑	
辞工	
二字	
二十	
按键	
按到	
峨眉	
爱得	得de
耳机	
爱过	
恶感	恶e
恶骂	恶e
碍于	
二流	
不熟	熟shu
不比	
不就	
笔画	
北平	
编的	的de
不了	了le
不换	
不试	
本区	区qu
不止	
比拟	
不与	
不理	
不帅	
不佳	
不改	
不需	
被窝	
不堪	
不搞	
不卖	
不远	
不动	
笔误	
不和	和he
不易	
不发	
贬低	
不急	
必输	
币种	种zhong
不深	
背景	
鞭子	
不按	
不定	
部件	
把我	
必需	
包围	
把他	
不将	
不中	
报仇	仇chou
辩解	解jie
不屑	
不打	
不丑	
不收	
不问	
不亮	
不实	
薄被	薄bao
编程	
被骂	
不亏	
不听	
不像	
边距	
壁纸	
不回	
便知	便bian
不正	
不贵	
帮她	
不嫌	
不详	
包养	
暴汗	暴bao
不低	
本事	
本节	
不干	
不交	
办卡	卡ka
不敬	
爆笑	
不学	
编译	
不周	
便携	便bian
比她	
不为	
帮手	
白食	食shi
包涵	
不宜	
不以	
不时	
包你	
把她	
不富	
别谈	
不力	
错词	
把它	
除错	
查了	查cha|了le
错的	的de
长词	长chang
尝尝	
趁机	
词序	
称为	称cheng
雌性	
厨子	
伺候	伺ci
成组	
冲了	了le
常理	
处罚	
超时	
超慢	
诧异	
迟了	了le
词频	
雏形	
猜疑	
存为	
成型	
成形	
吃吃	
触发	
插到	
厨艺	
常识	识shi
陈货	
成都	都du
炒了	了le
城关	
出局	
刺耳	
次页	
初版	
错事	
厂子	厂chang
扯谎	
传了	传chuan|了le
长了	长chang|了le
成对	
菜刀	
成见	见jian
出家	家jia
畅游	
大道	大da
拆借	拆chai
乘机	乘cheng
断线	
大侠	大da
多余	
都会	都dou|会hui
对齐	齐qi
盯住	
对的	的de
代签	
打牌	
的姐	的di
大意	大da
大件	大da
导出	
逗号	
大写	大da
得了	得de|了le
敌视	
打错	
打的	的di
带了	了le
大涨	大da
大姐	大da
短句	句ju
顿号	顿dun
大变	大da
多处	
读过	读du
大了	大da|了le
对账	
打到	
打倒	
单向	单dan
大肆	大da
礼金	
得罪	得de
答谢	
大虾	大da|虾xia
打打	
大幅	大da
单人	单dan
打你	
的士	的di
非此	
大山	大da
道长	长zhang
呆着	着zhe
敌意	
打通	
得益	得de
定型	
夺得	得de
打法	
地质	地di
底下	底di
逮到	
呆板	
大度	大da|度du
斗士	
店家	家jia
打架	
待到	
答话	
对对	
倒了	了le
对骂	
大个	大da
短粗	
多事	
捣蛋	
大火	大da
大闹	大da
定夺	
调包	调diao
打得	得de
打假	
大补	大da
大叔	大da
换个	
废词	
耗子	
发的	的de
好吗	
环卫	
话费	
恢复	
翻印	
翻翻	
复旦	
浮标	
何时	
好小	
换了	了le
好找	
好不	
好恶	恶wu
会是	会hui
回话	
封了	了le
返工	
活着	着zhe
后妈	
回执	
欢乐	乐le
撼动	
废纸	
会的	会hui|的de
很急	
粉红	红hong
繁花	繁fan
好话	
好大	大da
谎话	
还把	还hai
福音	
猴急	
放风	
汉阳	
害得	得de
还嘴	还huan
费神	
肥硕	
愤慨	
发过	
换号	
费电	
狐狸	
氛围	
封掉	
锋利	
好想	
反悔	
好点	
和她	和he
凡事	
风行	行xing
肤浅	浅qian
函电	
核实	核he
罕有	
灰心	
很像	
附在	
会来	会hui
回想	
翻了	了le
猴王	
好马	
反向	
繁殖	繁fan|殖zhi
会话	会hui
高大	大da
好牌	
会向	会hui
奋起	
核销	核he
给的	给gei|的de
搞得	得de
固顶	
股市	
告到	
横向	
给个	给gei
改回	
搞个	
鼓动	
该国	
各人	
该帖	
割掉	
搞了	了le
搞成	
关的	的de
该词	
搞大	大da
过激	
干将	
顾忌	
更慢	
恭维	
勾上	
个个	
光溜	
高歌	
国语	
鬼混	
公认	
够大	大da
贵的	的de
割了	了le
过得	得de
高点	
骨感	
格格	
钙片	
供给	给ji
告密	
个子	
公的	的de
过火	
干劲	劲jin
赶到	
搞臭	臭chou
赶出	
孤寂	
干的	的de
鼓掌	
骨龄	
高见	见jian
假如	
交集	
精力	
举例	
家事	家jia
机器	
即使	
加个	
急需	
糕点	
假货	
奸商	
句末	句ju
记账	
接收	
禁忌	
近日	
挤到	
及时	
降息	降jiang
键选	
卷舌	
几种	种zhong
加加	
间距	
奸细	
叫法	
加点	
简称	称cheng
几遍	
建的	的de
鸡肋	肋lei
交道	
结仇	仇chou
经理	
几率	率lv
狡辩	
佳话	
几岁	
极力	
几日	
积蓄	
基数	数shu
加在	
几大	大da
兼得	得de
己任	
管得	得de
见解	见jian|解jie
接了	了le
将他	
键位	
简介	
接手	
叫醒	
计数	数shu
记下	
计酬	
纪要	
井号	
几层	
几页	
急着	着zhe
吉祥	
击败	
胶水	
精子	
教我	
精液	
禁闭	
九折	折zhe
净化	
记性	
简洁	
几项	
叫你	
精致	
积德	
简捷	
近的	的de
节制	
校验	校jiao
均会	会hui
就已	
吉利	
娇惯	
尽到	
激化	
进城	
季度	度du
既可	
见地	见jian|地di
急躁	
精于	
解禁	解jie
剪刀	
饥渴	
简写	
较差	差cha
凯歌	
开的	的de
刊载	
口实	
看得	得de
看头	
勘误	
空的	的de
苦了	了le
快了	了le
刻意	
可望	
开帖	
控件	
几十	
看中	
酷极	
哪个	哪na
利器	
你再	
你又	
两点	
内测	
亮出	
老许	
人行	行hang
梨子	
那时	那na
零用	
年终	
老孙	
露底	露lou|底di
露丑	露lou
量词	
女的	的de
老周	
例证	
哪儿	哪na
哪天	哪na
来的	的de
老的	的de
理发	
难堪	
你与	
哪方	哪na
拦网	
拉倒	
人名	
两行	行hang
老成	
冷的	的de
男的	的de
滥交	
理科	
锐利	
廉洁	
宁日	
理睬	
礼节	
人为	
人身	
拿点	
老窝	
老是	
连环	
难得	得de
聊得	得de
露点	露lu
来得	得de
离你	
立论	
年头	
女星	
两项	
老气	
理他	
露出	露lou
你猜	
两横	
力荐	
理你	
聊聊	
留宿	宿su
惹上	
弱项	
内奸	
哪位	哪na
秘籍	秘mi
买的	的de
卖的	的de
每字	
面世	
买家	家jia
卖家	家jia
蓦地	地di
美眉	
卖点	
美事	
母的	的de
骂的	的de
忙死	
美发	
蚂蟥	
每隔	
每家	家jia
卖了	了le
母鸡	
明鉴	
梅花	
墨盒	
迷奸	
排后	
平盘	
拼法	
爬了	了le
平价	价jia
刨除	刨pao
片子	
癖好	
炮友	炮pao
清除	
前言	
清朗	
缺词	
前晚	
禽兽	
其它	其qi
其后	其qi
歧义	
去的	的de
起见	见jian
却有	
七十	
气愤	
青岛	
却是	
取笑	
歧视	
穷举	
嵌入	嵌qian
气量	
群交	
缺失	
欠扁	扁bian
腔调	调diao
前戏	戏xi
前夜	
迁徙	
庆幸	
书籍	
首字	
实用	
市话	
手势	
受理	
试了	了le
试验	
上的	的de
商榷	
搜到	
时效	
深渊	
四字	
是想	
上屏	屏ping
适中	适shi
神舟	
试用	
是有	
书签	
收款	
事先	
索要	
顺延	
神兵	
时机	
删帖	
适用	适shi
锁了	了le
扇子	
煽动	
是由	
四声	
失身	
失声	
受贿	
侍候	
伺机	伺si
声誉	
上限	
是为	
是吧	
四五	
十五	
示例	
索道	
水帖	
视野	
声母	
收集	
三字	
熟了	熟shu|了le
神医	
锁帖	
生理	
试想	
四位	
稍候	
声张	
势利	
盛典	盛sheng
死去	
属实	属shu
失控	
收了	了le
省城	省sheng
市政	
私话	
收发	
实时	
四是	
省会	省sheng|会hui
事物	
尚可	
试问	
杀鸡	
笙歌	
世上	
死机	
司空	
石油	石shi
实践	
十几	
稍小	
世道	
事由	
史册	
闪亮	
上翻	
嗜好	
试听	
熟透	熟shu
升职	
事端	
算算	
是她	
琐事	
甩了	了le
所为	
生事	
伤人	
所知	
食欲	食shi
谁叫	谁shui
署名	
圣人	
素净	
闪动	
肃穆	
是会	会hui
神速	
睡着	着zhe
伤了	了le
上家	家jia
同一	
他的	的de
通话	
退出	
停售	
它是	
调到	调tiao
停滞	
推了	了le
坛友	
太极	
他有	
踢馆	
她的	的de
拖曳	
特例	
替她	
提及	提ti
挑挑	
托收	
她们	
挑唆	
他所	
叹气	
条纹	
推手	
投篮	
体毛	
停了	了le
投向	
童话	
踏实	
太晚	
太熟	熟shu
她也	
套子	
同性	
退格	
同化	
它们	
退到	
体形	
太瘦	
唾弃	
推倒	
太像	
剔除	
太远	
拖鞋	
退居	
无此	无wu
我选	
未改	
尾数	尾wei|数shu
往复	
无意	无wu
我再	
我倒	
武昌	
文才	
晚了	了le
我猜	
误导	
为止	
未知	
务必	
外甥	
玩了	了le
巫术	术shu
未读	读du
误读	读du
无机	无wu
我又	
吻你	
舞弊	
网游	
未到	
瓦蓝	
无故	无wu
午睡	
无题	无wu
闻名	
问话	
无知	无wu
我没	没mei
无谓	无wu
午夜	
误伤	
闻闻	
挽回	
微小	
相处	
小写	
下的	的de
谢了	了le
泄漏	
想想	
向右	
消失	
些微	
写的	的de
小妞	
现金	
吸了	了le
相好	
卸载	
写字	
下标	
选字	
新奇	奇qi
幸好	
销户	
形码	
学好	
心焦	
新郎	
现成	
写上	
小些	
想了	了le
新近	
写手	
襄樊	
宵夜	
香蕉	蕉jiao
嫌你	
嫌疑	
心得	得de
现眼	
写得	得de
销路	
闲话	
写诗	
行驶	行xing
现将	
小舅	
像你	
小钱	
小王	
小口	
贤惠	
小号	
细微	
新装	
想我	
星号	
洗碗	洗xi
向导	
信使	
嫌老	
相像	
洗洗	洗xi|洗xi
雄起	
向左	
小道	
血洗	血xue|洗xi
献身	
想歪	
以下	
一派	派pai
邮编	
有吗	
用词	
勇于	
已是	
右键	
易用	
也未	
一出	
一向	
又向	
益处	
用的	的de
一元	
有时	
优点	
以免	
又会	会hui
韵母	
又到	
应战	
遗漏	遗yi
一篇	
移到	
院子	
要涨	
有谁	谁shui
有此	
以便	便bian
易学	
越狱	
诱导	
意味	
一是	
圆圈	圈quan
意外	
游子	
疑似	似si
怨气	
掩饰	
一味	
依赖	
遗失	遗yi
有劲	劲jin
有力	
一串	
医师	
延时	
原稿	
原路	
一招	
意念	
一生	
以防	
移开	
一例	
有线	
业余	
有事	
街机	
语气	
宜昌	
已阅	
一倍	
要的	的de
有误	
幼稚	
与她	
一事	
硬伤	
夜夜	
一斤	
一买	
艳照	
又想	
疑惑	
一副	
邮寄	
油腻	
隐性	
冤枉	
有才	
油水	
犹豫	
有约	约yue
用意	
原话	
异样	
一想	
右方	
倚重	重zhong
游离	
振荡	
中的	的de
字词	
智商	
再试	
专为	
指定	
正误	
智能	
振动	
再看	
再加	
再提	提ti
只做	
之意	
资讯	
中键	
转帖	转zhuan
租的	的de
资深	
正数	数shu
专帖	
造词	
早了	了le
直到	
再打	
逐笔	
之家	家jia
主板	
滞后	
哲理	
再给	给gei
转向	转zhuan
照搬	
终止	
字义	
主义	
自有	
之余	
真高	
只读	读du
逐一	
指责	
之流	
主人	
找她	
整句	句ju
制表	
抓得	得de
纸箱	
做出	
蜘蛛	
仗剑	
再等	
转车	转zhuan|车che
终点	
造句	句ju
总和	和he
真爱	
做主	
赚取	赚zhuan
证实	
真相	
战果	
助威	
粽子	
制式	
中断	
致癌	
早起	
指纹	
指挥	
中伤	
走的	的de
真实	
正轨	
造的	的de
痔疮	
造了	了le
淄博	
之交	
在此	
造假	
自宫	
种马	种zhong
这趟	这zhe
支出	
只敢	
占位	
做做	
再现	
资历	
在建	
增资	
之死	
中和	和he
之处	
只打	
再起	
准信	
争气	
这杯	这zhe
主见	见jian
增长	长chang
揭秘	秘mi
书架	
该书	
累积	
的事	的de
博文	
家居	家jia
方的	的de
一经	
圣火	
育儿	育yu
施加	
亲子	亲qin
申明	
人和	和he
内的	的de
世纪	
山西	
面的	的di
明的	的de
附件	
部队	
仅供	
汶川	
无线	无wu
金银	
有失	
净值	
回合	合he
庄家	家jia
延伸	
钱的	的de
哪里	哪na
与其	其qi
一支	
办厂	厂chang
之用	
发型	
强的	强qiang|的de
分立	
游泳	
公益	
史上	
穿着	着zhe
涨得	得de
亿元	
纪录	
事儿	
红的	红hong|的de
富豪	
画的	的de
影像	
达人	
小计	
应收	
痛饮	
美人	
华硕	
考研	
债权	
艺人	
走得	得de
旅行	行xing
练习	
音箱	
骑士	骑qi
射击	
四年	
油耗	
只见	见jian
暴利	暴bao
终极	
二是	
附注	
本本	
自定	
势头	
惊艳	
举重	重zhong
自负	
抵制	
有奖	
养的	的de
酒吧	
情节	
一件	
尸体	
严谨	
同行	行xing
卫冕	
公子	
出轨	
晋级	
让她	
装的	的de
复出	
千年	
装机	
集锦	
兼职	
植物	
身后	
神情	
发信	
急事	
坐着	着zhe
骂得	得de
解除	解jie
抑制	
平的	的de
远的	的de
祈祷	
盛世	盛sheng
巨星	
事宜	
之争	
不禁	
她和	和he
简历	
情缘	
弃权	
急于	
音响	
逝世	
渎职	
失利	
湿疹	
征文	
给她	给gei
五星	
竞技	
一一	
布丁	丁ding
我妈	
私用	
一族	
卧室	
机箱	
相悖	
礼仪	
畸形	
闪耀	
纪实	
诠释	
作了	了le
出炉	
眼中	
亮丽	
王者	
极其	其qi
终结	
一跳	
在与	
手上	
全线	
城堡	堡bao
底部	底di
家有	家jia
街道	
综述	综zong
四人	
受益	
要死	
致敬	
神气	
深情	
稳健	
排的	的de
接力	
火星	
力士	
小鱼	
在她	
狮子	
去世	
主体	
回了	了le
气死	
拳击	
大事	大da
议题	
她在	
一步	
千里	
在地	地di
场上	
战机	
特指	
星辰	
游记	
千金	
支招	
旷世	
宝玉	
为之	
地狱	地di
离职	
十个	
之事	
试题	
华语	
四季	
发飙	
双双	
视线	
她就	
上苍	
笑笑	
全力	
奉献	
它在	
庄园	
爆料	
裁员	员yuan
心地	地di
信念	
征服	
一千	
只为	
诗歌	
大唐	大da
过往	
处处	
对她	
一世	
天价	价jia
预言	
截止	
布置	
小雨	
助理	
佳人	
接过	
之星	
网费	
王妃	
旗帜	
出于	
治愈	
被逼	
熟女	熟shu
单元	单dan
在哪	哪na
风靡	
深处	
意志	
清纯	
硕士	
大成	大da
师父	
助攻	
学员	员yuan
选秀	
情结	
自助	
揭示	
之夜	
统治	
奇高	奇qi
得多	得de
穿的	的de
大业	大da
高官	
当众	
极致	
长篇	长chang
建国	
做得	得de
先是	
正义	
校花	校xiao
这只	这zhe
敬礼	
起跑	
法师	
万家	万wan|家jia
抄底	底di
伸手	
派对	派pai
遗体	遗yi
黑的	的de
绞死	
志愿	
忧郁	
一堆	
食用	食shi
时事	
失误	
姥姥	姥lao|姥lao
一带	
绵阳	
响应	
一架	
政权	
人马	
物理	
一封	
喜剧	
黄页	
批复	
幼教	
王爷	
领衔	
衷心	
撒旦	
一幅	
一举	
行事	行xing
浴室	
应由	
使其	其qi
新片	
椅子	
回访	
为期	期qi
一级	
素的	的de
一回	
深陷	
打折	折zhe
标致	
手记	
一刻	
出击	
居士	
步枪	
一时	
合集	合he
方可	
穿上	
役使	
坠毁	
事后	
一丝	
步入	
包包	
新兴	
暴涨	暴bao
僵尸	
议和	和he
卫视	
抑郁	
竹子	
自曝	曝bao
认知	
焰火	
一杯	
暴富	暴bao
光纤	纤xian
执着	着zhuo
形似	似si
闲置	
战友	
小火	
砍死	
整机	
居室	
异议	
之作	
五一	
中药	
智力	
议事	
时评	
绝色	色se
活的	的de
清洗	洗xi
或将	
讥讽	
生于	
又见	见jian
品位	
保镖	
依依	
竞选	
世间	
借口	
病历	
上前	
预收	
大胜	大da
是把	
只剩	
相思	思si
衣物	
出示	
满的	的de
想必	
水中	
一期	期qi
向着	着zhe
作客	
召回	召zhao
纺织	
知情	
旗手	
先行	行xing
升起	
但她	
尽显	
艳遇	
吓得	吓xia|得de
丝丝	
专治	
南海	南nan
哺乳	
在座	
走近	
晶晶	
猥亵	
折旧	折zhe
时而	
假使	
历年	
她还	还hai
饰演	
戴上	
蚊子	
力挺	
诸如	
执教	
伤亡	亡wang
底盘	底di
餐馆	
一角	角jiao
功力	
大帝	大da
时时	
处死	
大礼	大da
继承	
就想	
情场	
新星	
兴盛	盛sheng
住院	
不服	
加之	
乘数	乘cheng|数shu
地价	地di|价jia
分期	期qi
拜拜	
顶着	着zhe
近来	
我爸	
近年	
为她	
并由	
秀丽	
硬的	的de
物语	
海岛	
慈禧	
放假	
客机	
景点	
要向	
五官	
一碗	
悠闲	
舅舅	
立时	
改编	
婷婷	
极具	
武士	
警示	
座位	
之势	
屋子	
国度	度du
银子	
青青	
嚣张	嚣xiao
反腐	
一间	
惩戒	
誓言	
皇子	
每每	
低估	
雨中	
提防	提di
前妻	
宫殿	
诱人	
她对	
忠实	
大兴	大da
感言	
军徽	
盈余	
来和	和he
接班	
党史	
意甲	
度假	度du
心想	
中天	
生肖	
处境	
免职	
实质	
显存	
不放	
直尺	尺chi
被捕	
一脚	脚jiao
再掀	
只因	
自持	
一问	
久违	
并向	
在读	读du
示意	
拟订	
生育	育yu
奖杯	
已于	
一地	地di
一到	
极速	
园艺	
突围	
德州	
制伏	
汉奸	
制止	
谣言	
投降	降xiang
私房	房fang
十七	
愉悦	
金秋	
借着	着zhe
奋力	
传记	传zhuan
亿万	万wan
置于	
姻缘	
乏力	
自制	
嫉妒	
城里	
向来	
正的	的de
屋里	
欣喜	
她又	
执导	
一再	
油画	
这可	这zhe
紧紧	
火力	
外壳	壳ke
体质	
干吗	
竞猜	
届时	
原油	
主子	
竖起	
契机	契qi
步行	行xing
史诗	
巨型	
买进	
负有	
出访	
市委	
焦急	
拜年	
说她	说shuo
奴隶	
绅士	
中将	
杯子	
开战	
大笑	大da
性命	
将她	
忠心	
笑意	
买方	
地处	地di
围着	着zhe
监测	
跳跃	
出线	
戒指	
陛下	
到死	
本是	
病逝	
诗集	
不适	适shi
演习	
盒子	
图表	
一棵	
生前	
极佳	
转回	转zhuan
诗人	
完胜	
汉子	
烟雨	烟yan
意境	
大腕	大da
周瑜	
核查	核he|查cha
圣地	地di
之女	
委任	
大雨	大da
让它	
食道	食shi
揭幕	
响起	
小乔	
衣裳	裳shang
项羽	
逾期	期qi
贬值	
手掌	
十全	
老式	
连任	
摄像	
点亮	
富人	
公婆	
孕期	期qi
背上	
知青	
相识	识shi
工夫	
油漆	
漫漫	
静心	
多为	
血型	血xue
大戏	大da|戏xi
布衣	
与人	
服侍	
既是	
即是	
她不	
指点	
博览	
俘虏	
安检	
演艺	
坐了	了le
火鸡	
徒弟	
昨夜	
王志	
乙方	
身家	家jia
金鸡	
以致	
救了	了le
攻势	
良机	
小脸	
商机	
束缚	
侦察	
集结	
吊环	
黄的	的de
世人	
有理	
复合	合he
份数	数shu
名医	
卖方	
没见	没mei|见jian
一通	
一见	见jian
诗意	
质感	
大象	大da
准的	的de
总汇	
世家	家jia
艳丽	
复试	
王晓	
厨师	
之初	
之感	
四级	
落马	落luo
七彩	
蓝的	的de
小妖	
湘西	
一键	
瓶颈	颈jing
旗袍	
精细	
趣事	
生机	
一刀	
几何	
咪咪	
一剑	
公示	
共赏	
制服	
剧中	
帆板	
片片	
果实	
笑得	得de
矫正	
小花	
依次	
几步	
省级	省sheng
商议	
结识	识shi
利害	
后背	
贺岁	
质地	地di
重任	重zhong
嬴政	
不只	
倾心	
清香	
营私	
巍巍	
使他	
近视	
详见	见jian
重心	重zhong
红杏	红hong
长假	长chang
小资	
契约	契qi|约yue
茉莉	
身处	
为王	
上届	
吃得	得de
无忌	无wu
节油	
鸽子	
多达	
无视	无wu
刺客	
异性	
流星	
将由	
触动	
戴着	着zhe
七条	
跑道	
自述	
身世	
机动	
小手	
西游	
造就	
的好	的de
部委	
之名	
一员	员yuan
胜出	
边界	
适时	适shi
双鱼	
已知	
省长	省sheng|长zhang
嫁人	
水面	
收支	
梨花	
去除	
所述	
不离	
时节	
卧底	底di
被打	
看她	
美貌	
北站	
六一	六liu
雄鹿	
真挚	
香气	
简易	
圆的	的de
叫道	
上游	
大势	大da
小生	
已久	
环抱	
我以	
有如	
百名	百bai
解开	解jie
人质	
绝世	
百日	百bai
点心	
背部	
小便	便bian
小编	
晶莹	
水瓶	
医治	
中式	
逃出	
灵异	
上表	
放置	
大清	大da
原型	
大关	大da
遗址	遗yi
店里	
乡下	
至上	
大三	大da
实物	
商誉	
不料	
致富	
守候	
在同	
合营	合he
报到	
犀利	
飞舞	
失业	
移植	
卫士	
倒地	地di
不分	
议程	
调理	调tiao
开除	
国籍	
生下	
半岛	
软的	的de
有位	
正值	
华贵	
师长	长zhang
骑马	骑qi
包袱	
戏水	戏xi
项链	
计时	
大半	大da
底座	底di
问她	
五行	行xing
围堵	
自建	
清清	
离场	
她会	会hui
游行	行xing
警官	
晚宴	
芳香	
跟她	
她把	
盛夏	盛sheng
光电	
她与	
文史	
制药	
公证	
不作	
纯洁	
抱住	
水利	
做完	
今生	
船舶	
检视	
大巴	大da
一来	
汇兑	
首饰	
邻里	
五位	
主妇	
得失	得de
开房	房fang
舞者	
应向	
进食	食shi
人有	
升至	
树枝	
老实	
天机	
车里	车che
殉职	
团圆	
日立	
起义	
寝室	
林中	
典礼	
世俗	
