# 8万精准超小词库
# 原始出处未知，原词中多音字注音移除，补充完整拼音，第一个词“是的这个”改成“是的”
# https://github.com/studyzy/imewlconverter/blob/master/参考/8万精准超小词库.txt
#
# 词语	拼音	多音字备注

这等	zhe deng	这zhe
瞻仰	zhan ang	
打针	da zhen	
点阵	dian zhen	
偿债	chang zhai	
则说	ze shuo	说shuo
皮肉	pi rou	
暗影	an ying	
野人	ye ren	
混纺	hun fang	
苦的	gu de	的de
下风	xia feng	
牌楼	pai lou	
气喘	qi chuan	
纷乱	fen luan	
黏液	nian ye	
亲信	qin shen	亲qin
吃吧	chi ba	
撤换	che huan	
送钱	song qian	
更紧	geng jin	
最晚	zui wan	
还击	huan ji	还huan
本应	ben ying	
进餐	jin can	
炯炯	jiong jiong	
跟谁	gen shui	谁shui
海路	hai lu	
语出	yu chu	
老弟	lao di	
生锈	sheng xiu	
居所	ju suo	
树丛	shu cong	
刺伤	ci shang	
生灵	sheng ling	
追偿	dui chang	
洞中	dong zhong	
耳鸣	er ming	
爱妻	ai qi	
暗道	an dao	
柔柔	rou rou	
口渴	kou ke	
娘娘	niang niang	
脱口	tuo kou	
应能	ying nai	
分号	fen hao	
过桥	guo qiao	
表妹	biao mei	
稀薄	xi bo	薄bo
外露	wai lu	露lu
弹跳	tan tao	弹tan
多难	duo nan	
公尺	gong chi	尺chi
坏处	huai chu	坏huai
饭桌	fan zhuo	
散漫	san man	
扫墓	sao mu	
红心	hong xin	红hong
改掉	gai diao	
太冷	tai leng	
持家	chi jia	家jia
赤脚	chi jiao	脚jiao
决出	jue chu	
低垂	di chui	
供述	gong shu	
炸毁	zha hui	
直呼	zhi hu	
大龄	da ling	大da
低腰	di yao	
映照	ying zhao	
盘古	pan gu	
甜品	tian pin	
油库	you ku	
洗完	xi wan	洗xi
开罗	kai luo	
趋同	cu tong	
传开	chuan kai	传chuan
戏法	xi fa	戏xi
去查	qu cha	查cha
没买	mei mai	没mei
备好	bei hao	
黑猫	hei mao	
梅毒	mei dai	
湿热	shi re	
娇气	jiao qi	
打趣	da cu	
清冷	qing leng	
勾魂	gou hun	
妙龄	miao ling	
来向	lai xiang	
失窃	shi qie	
脚踝	jiao huai	脚jiao
指明	zhi ming	
街巷	jie xiang	巷xiang
声光	sheng guang	
则无	ze wu	无wu
香江	xiang jiang	
半圆	ban yuan	
换回	huan hui	
逐条	zhu tiao	
紫藤	zi teng	
作图	zuo tu	
春晓	chun xiao	
老练	lao lian	
引号	yin hao	
遮光	zhe guang	
揣测	chuai ce	
慵懒	yong lan	
夹带	jia dai	夹jia
要约	yao yue	约yue
阴云	yin yun	
初赛	chu sai	
野战	ye zhan	
作词	zuo ci	
卷轴	juan zhou	
恩人	en ren	
傲气	ao qi	
歪风	wai feng	
目眩	mu huan	
几篇	ji pian	
瞳孔	tong kong	
甜味	tian wei	
利尿	li niao	尿niao
拼装	pin zhuang	
全貌	quan mao	
脱去	tuo qu	
氢气	qing qi	
捐物	juan wu	
叛乱	pan luan	
书库	shu ku	
陡峭	dou qiao	
庙宇	miao yu	
白头	bai tou	
练好	lian hao	
灵犀	ling xi	
艰险	jian xian	
凶残	xiong can	
升官	sheng guan	
雄性	xiong xing	
台长	tai zhang	长zhang
灯下	deng xia	
等闲	deng xian	
较劲	jiao jin	劲jin
这行	zhe hang	这zhe|行hang
炒菜	chao cai	
作画	zuo hua	
黑点	hei dian	
衣领	yi ling	
政变	zheng bian	
养大	yang da	大da
受累	shou lei	
水珠	shui zhu	
松手	song shou	
错案	cuo an	
恶战	e zhan	恶e
魁梧	kui wu	
贫寒	pin han	
盲区	mang qu	区qu
甘甜	gan tian	
道破	dao po	
更替	geng ti	
拍砖	pai zhuan	
兵马	bing ma	
刀砍	dao kan	
考级	kao ji	
不慌	bu huang	
瞟了	piao le	了le
战俘	zhan fu	
求新	qiu xin	
白兔	bai tu	
温顺	wen shun	
传唤	chuan huan	传chuan
撮合	cuo he	撮cuo|合he
迪厅	di ting	
香火	xiang huo	
踏雪	ta xue	
同党	tong dang	
当归	dang gui	
拔掉	ba diao	
春雷	chun lei	
擦洗	ca xi	洗xi
金价	jin jia	价jia
御寒	yu han	
增光	zeng guang	
漏电	lou dian	
再婚	zai hun	
船队	chuan dui	
圣贤	sheng xian	
代劳	dai lao	
冻死	dong si	
别走	bie zou	
压着	ya zhe	着zhe
素来	su lai	
首演	shou yan	
懊悔	ao hui	
撇开	pie kai	
分派	fen pai	派pai
肉麻	rou ma	
偏颇	pian po	
拍拖	pai tuo	
心坎	xin kan	
悬空	xuan kong	
从南	cong nan	南nan
窟窿	ku long	
飘着	piao zhe	着zhe
接你	jie ni	
离岗	li gang	
计谋	ji mou	
暴行	bao xing	暴bao|行xing
蚯蚓	qiu yin	
取悦	qu yue	
岳母	yue mu	
扶正	fu zheng	
记过	ji guo	
过眼	guo yan	
也跟	ye gen	
调试	tiao shi	调tiao
轰隆	hong long	
小舟	xiao zhou	
效忠	xiao zhong	
倒影	dao ying	
毒死	dai si	
盛传	sheng chuan	盛sheng|传chuan
住家	zhu jia	家jia
率队	shuai dui	率shuai
深证	shen zheng	
咋舌	ze she	咋ze
砸在	za zai	
入球	ru qiu	
锐气	rui qi	
退票	tui piao	
劝你	quan ni	
雍容	yong rong	
瞥见	pie jian	见jian
大佛	da fo	大da|佛fo
患难	huan nan	
如斯	ru si	
戏弄	xi nong	戏xi|弄nong
蛮好	man hao	
你穿	ni chuan	
序曲	xu qu	
擒获	qin huo	
朝外	chao wai	朝chao
健忘	jian wang	
白面	bai mian	
火苗	huo miao	
受热	shou re	
手铐	shou kao	
八天	ba tian	
体察	ben cha	
退场	tui chang	
南站	nan zhan	南nan
扫清	sao qing	
缓步	huan bu	
暴动	bao dong	暴bao
刺进	ci jin	
隆隆	long long	
露脸	lou lian	露lou
黑烟	hei yan	烟yan
致函	zhi han	
环视	huan shi	
再行	zai xing	行xing
带点	dai dian	
遭殃	zao yang	
转瞬	zhuan shun	转zhuan
这则	zhe ze	这zhe
奥妙	ao miao	
爱神	ai shen	
剖腹	pou fu	
退让	tui rang	
快看	kuai kan	
内控	na kong	
气我	qi wo	
归去	gui qu	
逆流	ni liu	
盲点	mang dian	
味觉	wei jue	觉jue
肃然	su ran	
俊美	jun mei	
几套	ji tao	
审问	shen wen	
摆摊	bai tan	
游牧	you mu	
穿帮	chuan bang	
分身	fen shen	
原貌	yuan mao	
推辞	tui ci	
自满	zi man	
纵情	zong qing	
新军	xin jun	
北洋	bei yang	
桃色	tao se	色se
谐音	xie yin	
初选	chu xuan	
底薪	di xin	底di
均居	jun ju	
乱伦	luan lun	
菜地	cai di	地di
咬定	yao ding	
登月	deng yue	
粗俗	cu su	
圆锥	yuan zhui	
总称	zong cheng	称cheng
祖传	zu chuan	传chuan
嘶哑	si ya	
空难	kong nan	
脾胃	pi wei	
开外	kai wai	
分贝	fen bei	
急迫	ji po	迫po
七万	qi wan	万wan
绝配	jue pei	
明晨	ming chen	
投靠	tou kao	
鼎沸	ding fei	
残废	can fei	
到任	dao ren	
跑掉	pao diao	
绣球	xiu qiu	
摆满	bai man	
排涝	pai lao	
俗人	su ren	
冒用	mao yong	冒mao
念叨	nian dao	叨dao
图样	tu yang	
月明	yue ming	
搪瓷	tang ci	
很惨	hen can	
临行	lin xing	行xing
盛情	sheng qing	盛sheng
大棒	da bang	大da
洪亮	hong liang	
展播	zhan bo	
严冬	yan dong	
不送	bu song	
还手	huan shou	还huan
失修	shi xiu	
蛋类	dan lei	
袈裟	jia sha	
将帅	jiang shuai	
走错	zou cuo	
积攒	ji zan	攒zan
再顶	zai ding	
算上	suan shang	
早衰	zao shuai	衰shuai
正传	zheng zhuan	传zhuan
斧头	fu tou	
飘红	piao hong	红hong
妄图	wang tu	
转盘	zhuan pan	转zhuan
此乃	ci nai	
还让	hai rang	还hai
满街	man jie	
名酒	ming jiu	
金库	jin ku	
骂道	ma dao	
为佳	wei jia	
明灯	ming deng	
线团	xian tuan	
资费	zi fei	
去学	qu xue	
便从	bian cong	便bian
仓皇	cang huang	
春晖	chun hui	
重合	chong he	重chong|合he
停歇	ting xie	
修辞	xiu ci	
摘取	zhai qu	
下脚	xia jiao	脚jiao
上钩	shang gou	
相救	xiang jiu	
打滚	da gun	
欠债	qian zhai	
钻探	zuan tan	
戏院	xi yuan	戏xi
饮茶	yin cha	
霍乱	huo luan	
浴场	yu chang	
朝野	chao ye	朝chao
私心	si xin	
兖州	yan zhou	
预兆	yu zhao	
教主	jiao zhu	
傣族	dai zu	
款额	kuan e	
凭你	ping ni	
冉冉	ran ran	
我若	wo ruo	若ruo
肉禽	rou qin	
管内	guan na	
别怕	bie pa	
婆家	po jia	家jia
幼女	you nv	
忙活	mang huo	
翘臀	qiao tun	
求情	qiu qing	
别问	bie wen	
朝我	chao wo	朝chao
很痛	hen tong	
跨进	kua jin	
增刊	zeng kan	
照看	zhao kan	
砖块	zhuan kuai	
慰藉	wei jie	藉jie
门第	men di	
滑行	hua xing	行xing
高约	gao yue	约yue
幻化	huan hua	
衰败	shuai bai	衰shuai
败类	bai lei	
并联	bing lian	
大限	da xian	大da
点菜	dian cai	
合用	he yong	合he
油轮	you lun	
老手	lao shou	
古筝	gu zheng	
霸占	ba zhan	
帮着	bang zhe	着zhe
爽了	shuang le	了le
怂恿	song yong	
啊哈	a ha	
儿媳	er xi	
错愕	cuo e	
嫖客	piao ke	
铺平	pu ping	
女巫	nv wu	
心魄	xin po	魄po
脱皮	tuo pi	
瞧你	qiao ni	
脑门	nao men	
方格	fang ge	
红娘	hong niang	红hong
同门	tong men	
衣裤	yi ku	
黄泉	huang quan	
弄错	nong cuo	弄nong
热源	re yuan	
稀奇	xi qi	奇qi
药费	yao fei	
雪崩	xue beng	
批零	pi ling	
持股	chi gu	
寻根	xun gen	寻xun
别管	bie guan	
感化	gan hua	
难言	nan yan	
新碟	xin die	
残骸	can hai	
十秒	shi miao	
手稿	shou gao	
送股	song gu	
归队	gui dui	
血泪	xue lei	血xue
震天	zhen tian	
夹层	jia ceng	夹jia
据传	ju chuan	传chuan
裸聊	luo liao	
圆弧	yuan hu	
班上	ban shang	
断送	duan song	
足下	zu xia	
拘束	gou shu	
钻戒	zuan jie	
雕琢	diao zhuo	琢zhuo
独奏	du zou	
低矮	di ai	
膀胱	pang guang	膀pang
马尾	ma wei	尾wei
拍片	pai pian	
白嫩	bai nen	
考完	kao wan	
不破	bu po	
旅人	lv ren	
绕道	rao dao	
清高	qing gao	
刻薄	ke bo	薄bo
公墓	gong mu	
洗脑	xi nao	洗xi
亏了	kui le	了le
温带	wen dai	
常客	chang ke	
谋面	mou mian	
玷污	dian wu	
睦邻	mu lin	
连天	lian tian	
伯伯	bo bo	伯bo|伯bo
桔梗	jie geng	桔jie
寒暄	han xuan	
滴灌	di guan	
唏嘘	xi xu	嘘xu
抄录	chao lu	
八代	ba dai	
脱手	tuo shou	
搬来	ban lai	
雌雄	ci xiong	
拎着	lin zhe	着zhe
绝境	jue jing	
质变	zhi bian	
来算	lai suan	
螺栓	luo shuan	
贞操	zhen cao	
针刺	zhen ci	
打定	da ding	
吹着	chui zhe	着zhe
而遭	er zao	
鸵鸟	tuo niao	鸟niao
切口	qie kou	
碰面	peng mian	
不宁	bu ning	
排场	pai chang	
门板	men ban	
泡影	pao ying	
墙外	qiang wai	
分家	fen jia	家jia
诱骗	you pian	
和风	he feng	和he
去帮	qu bang	
雀斑	que ban	雀que
吹拂	chui fu	拂fu
扑到	pu dao	
乔迁	qiao qian	
木匠	mu jiang	
龌龊	wo chuo	
扣减	kou jian	
静默	jing mo	
飞走	fei zou	
短波	duan bo	
割断	ge duan	
操练	cao lian	
统揽	tong lan	
跳绳	tao sheng	
朝下	chao xia	朝chao
冷遇	leng yu	
甘薯	gan shu	
军车	jun che	车che
巨匠	ju jiang	
蓝领	lan ling	
要冲	yao chong	
脏话	zang hua	
措辞	cuo ci	
优等	you deng	
射箭	she jian	
对流	dui liu	
雍正	yong zheng	
装船	zhuang chuan	
上端	shang duan	
说到	shuo dao	说shuo
紧追	jin dui	
净赚	cheng zhuan	赚zhuan
正点	zheng dian	
算账	suan zhang	
让开	rang kai	
二胡	er hu	
愤然	fen ran	
贫苦	pin gu	
如题	ru ti	
内服	na fu	
乱跑	luan pao	
吓跑	xia pao	吓xia
海派	hai pai	派pai
开胃	kai wei	
领口	ling kou	
叫嚷	jiao rang	
矿藏	kuang cang	藏cang
低分	di fen	
多让	duo rang	
远看	yuan kan	
毛毯	ma tan	
老王	lao wang	
待客	dai ke	
版画	ban hua	
对开	dui kai	
包好	bao hao	
囚禁	qiu jin	
真快	zhen kuai	
歪了	wai le	了le
灯谜	deng mi	谜mi
敌我	di wo	
战犯	zhan fan	
僧人	seng ren	
同窗	tong chuang	
茶壶	cha hu	
荷包	he bao	
种群	zhong qun	种zhong
八路	ba lu	
拆解	chai jie	拆chai|解jie
唱戏	chang xi	戏xi
连珠	lian zhu	
梁祝	liang zhou	
在给	zai gei	给gei
列传	lie zhuan	传zhuan
和善	he shan	和he
跌了	die le	了le
观战	guan zhan	
棘手	ji shou	
住下	zhu xia	
上策	shang ce	
赚了	zhuan le	赚zhuan|了le
笨重	ben zhong	重zhong
讴歌	ou ge	
凶恶	xiong e	恶e
太爱	tai ai	
很怕	hen pa	
毛纺	ma fang	
鸟瞰	niao kan	鸟niao
酷刑	ku xing	
人话	ren hua	
滔天	tao tian	
我竟	wo jing	
吐痰	tu tan	
论处	lun chu	
被刺	bei ci	
他穿	ta chuan	
酒量	jiu liang	
巡游	xun you	
莲子	lian zi	
浑浊	hun zhuo	
禁言	jin yan	
运量	yun liang	
纵火	zong huo	
了断	liao duan	了liao
打猎	da lie	
电铃	dian ling	
炸了	zha le	了le
照耀	zhao yao	
瑟瑟	se se	
直率	zhi shuai	率shuai
傲然	ao ran	
清贫	qing pin	
续聘	xu pin	
魂魄	hun po	魄po
慨叹	kai tan	
墨香	mo xiang	
单凭	dan ping	单dan
胡闹	hu nao	
女兵	nv bing	
打非	da fei	
放好	fang hao	
退却	tui que	
全名	quan ming	
称王	cheng wang	称cheng
存亡	cun wang	亡wang
屈从	qu cong	
卷曲	juan qu	
落榜	luo bang	落luo
梦魇	meng yan	
难用	nan yong	
冰心	bing xin	
斑驳	ban bo	
后尘	hou chen	
咕噜	gu lu	
冷峻	leng jun	
半句	ban ju	句ju
憨厚	han hou	
凋谢	diao xie	
长信	chang shen	长chang
月均	yue jun	
花掉	hua diao	
论调	lun diao	调diao
则把	ze ba	
酸菜	suan cai	
张罗	zhang luo	
山岭	shan ling	
眼熟	yan shu	熟shu
江中	jiang zhong	
说中	shuo zhong	说shuo
撒手	sa shou	
滋长	zi zhang	长zhang
每篇	mei pian	
疲弱	pi ruo	
未开	wei kai	
路牌	lu pai	
发条	fa tiao	
更富	geng fu	
了然	liao ran	了liao
军费	jun fei	
逃课	tao ke	
摸出	mo chu	
地皮	di pi	地di
米黄	mi huang	
往北	wang bei	
乳汁	ru zhi	
跳板	tao ban	
本名	ben ming	
念经	nian jing	
前次	qian ci	
最牛	zui niu	
细密	xi mi	
露骨	lu gu	露lu
九千	jiu qian	
通体	tong ben	
裂变	lie bian	
超脱	chao tuo	
冒烟	mao yan	冒mao|烟yan
千吨	qian dun	
标出	biao chu	
臂膀	bi bang	臂bi|膀bang
房主	fang zhu	房fang
下厨	xia chu	
红霞	hong xia	红hong
激流	ji liu	
声讨	sheng tao	
已给	yi gei	给gei
山沟	shan gou	
别动	bie dong	
白兰	bai lan	
采写	cai xie	
过少	guo shao	
绿的	lv de	绿lv|的de
占比	zhan bi	
零碎	ling sui	
独身	du shen	
骤降	zhou jiang	降jiang
越早	yue zao	
做菜	zuo cai	
对敌	dui di	
苏打	su da	
斩断	zhan duan	
单张	dan zhang	单dan
豆子	dou zi	
暗潮	an chao	
饿狼	e lang	
马匹	ma pi	
枪口	qiang kou	
泡汤	pao tang	汤tang
喷嚏	pen ti	
窝囊	wo nang	
不热	bu re	
狂暴	kuang bao	暴bao
公堂	gong tang	
不巧	bu qiao	
风寒	feng han	
文身	wen shen	
猎奇	lie qi	奇qi
跟班	gen ban	
击溃	ji kui	溃kui
起哄	qi hong	
村口	cun kou	
能解	nai jie	解jie
吭声	keng sheng	吭keng
门道	men dao	
自若	zi ruo	若ruo
顿悟	dun wu	顿dun
刀枪	dao qiang	
定能	ding nai	
嘟囔	du nang	
慢速	man su	
浮生	fu sheng	
学点	xue dian	
归路	gui lu	
降下	jiang xia	降jiang
酒席	jiu xi	
教过	jiao guo	
山门	shan men	
细想	xi xiang	
吹了	chui le	了le
腊月	la yue	腊la
举出	ju chu	
早该	zao gai	
一餐	yi can	
自保	zi bao	
医德	yi de	
瞬息	shun xi	
抖擞	dou sou	
失传	shi chuan	传chuan
抽身	chou shen	
这身	zhe shen	这zhe
作声	zuo sheng	
争着	zheng zhe	着zhe
饵料	er liao	
亢奋	kang fen	
藏獒	zang ao	藏zang
热吻	re wen	
怪人	guai ren	
考过	kao guo	
超然	chao ran	
贵客	gui ke	
铺子	pu zi	
人烟	ren yan	烟yan
并网	bing wang	
暖流	nuan liu	
先秦	xian qin	
浮沉	fu chen	
陈明	chen ming	
飘散	piao san	
触感	chu gan	
白骨	bai gu	
刘备	liu bei	
女单	nv dan	单dan
来头	lai tou	
买书	mai shu	
来沪	lai hu	
还本	huan ben	还huan
用兵	yong bing	
拜见	bai jian	见jian
寡言	gua yan	
柏油	bai you	柏bai
弹奏	tan zou	弹tan
绷带	beng dai	
悲凉	bei liang	
大船	da chuan	大da
领主	ling zhu	
减员	jian yuan	员yuan
音调	yin diao	调diao
孪生	luan sheng	
金盾	jin dun	
杂项	za xiang	
转学	zhuan xue	转zhuan
蒸馏	zheng liu	
只当	zhi dang	
暗处	an chu	
而设	er she	
挖苦	wa gu	
默许	mo hu	
不弱	bu ruo	
开荒	kai huang	
粮库	liang ku	
假若	jia ruo	若ruo
初年	chu nian	
鬼魅	gui mei	
党费	dang fei	
排长	pai zhang	长zhang
从外	cong wai	
角膜	jiao mo	角jiao
盟主	meng zhu	
烟头	yan tou	烟yan
换过	huan guo	
先对	xian dui	
均被	jun bei	
弄脏	nong zang	弄nong
流经	liu jing	
用笔	yong bi	
偷渡	tou du	
梳头	shu tou	
巨浪	ju lang	
但会	dan hui	会hui
善变	shan bian	
错乱	cuo luan	
不迭	bu die	
高僧	gao seng	
异化	yi hua	
嘹亮	liao liang	
领了	ling le	了le
春药	chun yao	
连队	lian dui	
纸币	zhi bi	
山脚	shan jiao	脚jiao
操守	cao shou	
金砖	jin zhuan	
摘掉	zhai diao	
增色	zeng se	色se
恩赐	en ci	
暗号	an hao	
发情	fa qing	
入眠	ru mian	
拼凑	pin cou	
覆灭	fu mie	
小可	xiao ke	
惹事	re shi	
很轻	hen qing	
发话	fa hua	
零钱	ling qian	
王宫	wang gong	
晚来	wan lai	
车马	che ma	车che
开走	kai zou	
强令	qiang ling	强qiang
路标	lu biao	
砂糖	sha tang	
杨过	yang guo	
搜刮	sou gua	
下届	xia jie	
经络	jing luo	络luo
取走	qu zou	
勾当	gou dang	
水表	shui biao	
酬金	chou jin	
当先	dang xian	
矫健	jiao jian	
连用	lian yong	
限速	xian su	
宋朝	song chao	朝chao
随从	sui cong	
印着	yin zhe	着zhe
素雅	su ya	
勤恳	qin ken	
发球	fa qiu	
软骨	ruan gu	
劣势	lie shi	
你肯	ni ken	
粉笔	fen bi	
仿冒	fang mao	冒mao
威猛	wei meng	
小孔	xiao kong	
染红	ran hong	红hong
公网	gong wang	
阔步	kuo bu	
夹缝	jia feng	夹jia
洪武	hong wu	
进屋	jin wu	
奉承	feng cheng	
楼阁	lou ge	
桃红	tao hong	红hong
分忧	fen you	
冰柜	bing gui	柜gui
调养	tiao yang	调tiao
挪动	nuo dong	
老土	lao tu	
屈原	qu yuan	
糖浆	tang jiang	
香炉	xiang lu	
挂掉	gua diao	
累赘	lei zhui	
结缘	jie yuan	
溜溜	liu liu	
睡好	shui hao	
拆掉	chai diao	拆chai
水灵	shui ling	
残渣	can zha	
这双	zhe shuang	这zhe
放你	fang ni	
软软	ruan ruan	
托人	tuo ren	
挂念	gua nian	
肯干	ken gan	
形如	xing ru	
蒙蔽	meng bi	
某部	mou bu	
原判	yuan pan	
河内	he na	
吞没	tun mo	没mo
北非	bei fei	
墙头	qiang tou	
飘动	piao dong	
君王	jun wang	
营房	ying fang	房fang
快件	kuai jian	
七层	qi ceng	
活命	huo ming	
拜会	bai hui	会hui
都哭	dou ku	都dou
西天	xi tian	
梯田	ti tian	
重提	chong ti	重chong|提ti
圈定	quan ding	圈quan
太近	tai jin	
铁甲	tie jia	
山歌	shan ge	
变老	bian lao	
蹲下	dun xia	蹲dun
彩霞	cai xia	
城下	cheng xia	
战功	zhan gong	
一横	yi heng	
后路	hou lu	
论战	lun zhan	
换掉	huan diao	
流到	liu dao	
必死	bi si	
账簿	zhang bo	
很熟	hen shu	熟shu
竿子	gan zi	
敌手	di shou	
脏了	zang le	了le
擦身	ca shen	
山崖	shan ya	崖ya
政审	zheng shen	
巍峨	wei e	
日版	ri ban	
区块	qu kuai	区qu
天热	tian re	
赔本	pei ben	
磕头	ke tou	
皮衣	pi yi	
半日	ban ri	
初评	chu ping	
口吃	kou chi	
一碰	yi peng	
黏性	nian xing	
陈年	chen nian	
埋没	mai mo	埋mai|没mo
拉高	la gao	
慢点	man dian	
戏台	xi tai	戏xi
歌会	ge hui	会hui
鬼怪	gui guai	
改选	gai xuan	
男单	nan dan	单dan
巧遇	qiao yu	
铁匠	tie jiang	
不包	bu bao	
讯号	xun hao	
吉凶	ji xiong	
捐给	juan gei	给gei
又比	you bi	
蜷缩	quan suo	缩suo
苍凉	cang liang	
敢打	gan da	
官邸	guan di	
解药	jie yao	解jie
一乐	yi le	乐le
写生	xie sheng	
操刀	cao dao	
后生	hou sheng	
长进	zhang jin	长zhang
苍生	cang sheng	
瑶族	yao zu	
照应	zhao ying	
爱听	ai ting	
前额	qian e	
脸盆	lian pen	
快艇	kuai ting	
盟国	meng guo	
剑锋	jian feng	
接风	jie feng	
背起	bei qi	
分心	fen xin	
开灯	kai deng	
欢腾	huan teng	
长枪	chang qiang	长chang
高干	gao gan	
刚出	gang chu	
高唱	gao chang	
义卖	yi mai	
提纯	ti chun	提ti
货柜	huo gui	柜gui
脱出	tuo chu	
黑豹	hei bao	
小村	xiao cun	
席间	xi jian	
跳着	tao zhe	着zhe
差劲	cha jin	差cha|劲jin
走狗	zou gou	
立了	li le	了le
沉船	chen chuan	
戏中	xi zhong	戏xi
最火	zui huo	
辽东	liao dong	
喜事	xi shi	
成堆	cheng dui	
本镇	ben zhen	
锤子	chui zi	
噩耗	e hao	
发软	fa ruan	
喷灌	pen guan	
平复	ping fu	
碰壁	peng bi	
偏要	pian yao	
健脾	jian pi	
拐弯	guai wan	
怪他	guai ta	
吃奶	chi nai	
内壁	na bi	
捏了	nie le	了le
天宫	tian gong	
胸腔	xiong qiang	
侧目	ce mu	侧ce
带球	dai qiu	
死难	si nan	
偷听	tou ting	
难当	nan dang	
尿道	niao dao	尿niao
暮色	mu se	色se
港姐	gang jie	
肥猪	fei zhu	
流线	liu xian	
凌驾	ling jia	
挺多	ting duo	
节律	jie lv	
谈了	tan le	了le
搪塞	tang se	塞se
成家	cheng jia	家jia
别来	bie lai	
不冷	bu leng	
对错	dui cuo	
后轮	hou lun	
弧度	hu du	度du
走火	zou huo	
索贿	suo hui	
利索	li suo	
转录	zhuan lu	转zhuan
算来	suan lai	
延展	yan zhan	
噘嘴	jue zui	
擦着	ca zhe	着zhe
闪身	shan shen	
烧死	shao si	
治沙	zhi sha	
转世	zhuan shi	转zhuan
爱侣	ai lv	
怦然	peng ran	
判罚	pan fa	
两派	liang pai	派pai
别拿	bie na	
薄片	bao pian	薄bao
去搞	qu gao	
决然	jue ran	
几番	ji fan	番fan
岳父	yue fu	
刀客	dao ke	
绝情	jue qing	
拼杀	pin sha	
写个	xie ge	
相投	xiang tou	
兴叹	xing tan	
体液	ben ye	
墓葬	mu zang	
唾液	tuo ye	
发傻	fa sha	
佛寺	fo si	佛fo
迁都	qian du	都du
相抵	xiang di	
节本	jie ben	
赶路	gan lu	
绝学	jue xue	
应选	ying xuan	
白净	bai cheng	
轻率	qing shuai	率shuai
缺损	que sun	
多倍	duo bei	
沙土	sha tu	
停赛	ting sai	
终归	zhong gui	
西周	xi zhou	
最红	zui hong	红hong
山景	shan jing	
兜里	dou li	
端上	duan shang	
朝上	chao shang	朝chao
在朝	zai chao	朝chao
几周	ji zhou	
甚于	shen yu	
再做	zai zuo	
紧挨	jin ai	
片尾	pian wei	尾wei
捧起	peng qi	
女娲	nv wa	
柔嫩	rou nen	
平头	ping tou	
膨化	peng hua	
梦话	meng hua	
外公	wai gong	
午休	wu xiu	
美名	mei ming	
回天	hui tian	
空着	kong zhe	着zhe
多面	duo mian	
股海	gu hai	
村屯	cun tun	屯tun
除权	chu quan	
你早	ni zao	
沙丘	sha qiu	
酒鬼	jiu gui	
就因	jiu yin	
源流	yuan liu	
搏杀	bo sha	
怪招	guai zhao	
左路	zuo lu	
生路	sheng lu	
暂存	zan cun	
神殿	shen dian	
森森	sen sen	
宽泛	kuan fan	
喷发	pen fa	
讲评	jiang ping	
飘摇	piao yao	
排解	pai jie	解jie
军服	jun fu	
匈奴	xiong nu	
定然	ding ran	
染指	ran zhi	
弄好	nong hao	弄nong
鲁莽	lu mang	
闭关	bi guan	
八旬	ba xun	
目中	mu zhong	
右腿	you tui	
风霜	feng shuang	
把柄	ba bing	
干裂	gan lie	
写错	xie cuo	
火警	huo jing	
牙关	ya guan	
祸害	huo hai	
独步	du bu	
水边	shui bian	
斜阳	xie yang	
殿下	dian xia	
局促	ju cu	
精要	jing yao	
厚礼	hou li	
韩元	han yuan	
右路	you lu	
狠毒	hen dai	
锻压	duan ya	
随军	sui jun	
传神	chuan shen	传chuan
寓所	yu suo	
倒掉	dao diao	
军长	jun zhang	长zhang
创制	chuang zhi	
中招	zhong zhao	
爱河	ai he	
求饶	qiu rao	
拖放	tuo fang	
靠我	kao wo	
怒目	nu mu	
肉丝	rou si	
彭州	bang zhou	
还问	hai wen	还hai
亲和	qin he	亲qin|和he
被黑	bei hei	
存钱	cun qian	
同源	tong yuan	
百草	bai cao	百bai
冰糖	bing tang	
扭伤	niu shang	
法术	fa shu	术shu
付账	fu zhang	
乱花	luan hua	
干粮	gan liang	
灰白	hui bai	
题写	ti xie	
城楼	cheng lou	
爆冷	bao leng	
旱灾	han zai	
哼着	heng zhe	着zhe
多产	duo chan	
鸿运	hong yun	
差等	cha deng	差cha
车顶	che ding	车che
奖赏	jiang shang	
袋鼠	dai shu	
白昼	bai zhou	
搜出	sou chu	
走样	zou yang	
飒爽	sa shuang	
解码	jie ma	解jie
涅槃	nie pan	
牛排	niu pai	
安神	an shen	
绒布	rong bu	
如被	ru bei	
迈开	mai kai	
开赴	kai fu	
捧腹	peng fu	
啪啪	pa pa	
佛法	fo fa	佛fo
开开	kai kai	
繁茂	fan mao	繁fan
凛然	lin ran	
很烦	hen fan	
盖头	gai tou	盖gai
发笑	fa xiao	
闭口	bi kou	
翻录	fan lu	
变慢	bian man	
海涛	hai tao	
所犯	suo fan	
逐日	zhu ri	
密友	mi you	
古国	gu guo	
垂青	chui qing	
不疼	bu teng	
方丈	fang zhang	
追尾	dui wei	尾wei
责骂	ze ma	
不经	bu jing	
歌咏	ge yong	
恰似	qia si	似si
先觉	xian jue	觉jue
歇息	xie xi	
老妖	lao yao	
传唱	chuan chang	传chuan
因对	yin dui	
老说	lao shuo	说shuo
云烟	yun yan	烟yan
双颊	shuang jia	
受训	shou xun	
纱窗	sha chuang	
