带潮蛛	dai chao zhu
等起清净	deng qi qing jing
等起善	deng qi shan
等鳍侧唇鳚	deng qi ce chun wei
等鳍鲽	deng qi die
等鳍石首鱼	deng qi shi shou yu
等鳍塔氏鱼	deng qi ta shi yu
等鳍辛氏微体鱼	deng qi xin shi wei ti yu
等鳍异鳃鲶	deng qi yi sai nian
等齐	deng qi
等齐人	deng qi ren
等齐斜面	deng qi xie mian
等洽商	deng qia shang
等千年	deng qian nian
等强度焊缝	deng qiang du han feng
等强度连接	deng qiang du lian jie
等强度线射束天线	deng qiang du xian she shu tian xian
等强焊缝	deng qiang han feng
等强匹配接头	deng qiang pi pei jie tou
等桥村	deng qiao cun
等侵入容量线	deng qin ru rong liang xian
等倾干涉	deng qing gan she
等倾角干涉	deng qing jiao gan she
等倾角照相机	deng qing jiao zhao xiang ji
等倾摄影	deng qing she ying
等倾条纹	deng qing tiao wen
等倾线	deng qing xian
等倾消光条纹	deng qing xiao guang tiao wen
等情节	deng qing jie
等情侣	deng qing lv
等氢离子浓度	deng qing li zi nong du
等氢离子转移	deng qing li zi zhuan yi
等请了老太太的示下	deng qing le lao tai tai de shi xia
等轻轨	deng qing gui
等球了	deng qiu le
等球类	deng qiu lei
等秋桐杀了尤二姐	deng qiu tong sha le you er jie
等去的日子再包不迟	deng qu de ri zi zai bao bu chi
等去看看	deng qu kan kan
等去看看哈	deng qu kan kan ha
等去你家里了	deng qu ni jia li le
等取	deng qu
等全部出来	deng quan bu chu lai
等权代替法	deng quan dai ti fa
等权互同步网	deng quan hu tong bu wang
等权重	deng quan zhong
等群主加你吧	deng qun zhu jia ni ba
等让你	deng rang ni
等让他	deng rang ta
等热线	deng re xian
等热性	deng re xing
等人	deng ren
等人的呢	deng ren de ne
等人后	deng ren hou
等人哙老	deng ren kuai lao
等人齐开团	deng ren qi kai tuan
等人醒后一时来	deng ren xing hou yi shi lai
等人在	deng ren zai
等任务	deng ren wu
等认得那个	deng ren de na ge
等日后有玉的方可结为婚姻	deng ri hou you yu de fang ke jie wei hun yin
等日照线	deng ri zhao xian
等容比热	deng rong bi re
等容变化	deng rong bian hua
等容过程	deng rong guo cheng
等容积流速曲线	deng rong ji liu su qu xian
等容热容	deng rong re rong
等容收缩期	deng rong shou suo qi
等容舒张期	deng rong shu zhang qi
等容线	deng rong xian
等容线图	deng rong xian tu
等乳果衣	deng ru guo yi
等撒	deng sa
等洒	deng sa
等三个月后	deng san ge yue hou
等三岁	deng san sui
等三五天哥哥养好了出得去时	deng san wu tian ge ge yang hao le chu de qu shi
等散	deng san
等散了我再吃	deng san le wo zai chi
等色花纹	deng se hua wen
等色面	deng se mian
等色线	deng se xian
等色岩	deng se yan
等啥了	deng sha le
等啥子	deng sha zi
等啥子呢	deng sha zi ne
等煞	deng sha
等山	deng shan
等上	deng shang
等上半个小时	deng shang ban ge xiao shi
等上冲	deng shang chong
等上初中更累	deng shang chu zhong geng lei
等上货	deng shang huo
等上了你	deng shang le ni
等上你	deng shang ni
等上以后	deng shang yi hou
等商场有	deng shang chang you
等商品上	deng shang pin shang
等熵的	deng shang de
等熵分析	deng shang fen xi
等熵过程	deng shang guo cheng
等熵流	deng shang liu
等熵面	deng shang mian
等熵能量头	deng shang neng liang tou
等熵膨胀	deng shang peng zhang
等熵线图	deng shang xian tu
等熵效率	deng shang xiao lv
等熵压缩	deng shang ya suo
等熵压缩过程	deng shang ya suo guo cheng
等熵指数	deng shang zhi shu
等勺	deng shao
等什么人呢	deng shen me ren ne
等伸缩剖面	deng shen suo pou mian
等深变距螺杆	deng shen bian ju luo gan
等深等距螺杆	deng shen deng ju luo gan
等深点	deng shen dian
等深距	deng shen ju
等深流	deng shen liu
等深流沉积	deng shen liu chen ji
等深线	deng shen xian
等深线沉积物	deng shen xian chen ji wu
等深线计曲线	deng shen xian ji qu xian
等深线首曲线	deng shen xian shou qu xian
等深线图	deng shen xian tu
等渗	deng shen
等渗溶液	deng shen rong ye
等渗生理盐水	deng shen sheng li yan shui
等渗透率图	deng shen tou lv tu
等渗性	deng shen xing
等渗压的	deng shen ya de
等渗压力	deng shen ya li
等渗压溶液	deng shen ya rong ye
等身	deng shen
等身抱枕	deng shen bao zhen
等身金	deng shen jin
等身立牌	deng shen li pai
等身书	deng shen shu
等身像	deng shen xiang
等身著述	deng shen zhu shu
等身著作	deng shen zhu zuo
等身着作	deng shen zhuo zuo
等生活型线	deng sheng huo xing xian
等生了儿子	deng sheng le er zi
等生物景带线	deng sheng wu jing dai xian
等世代纲	deng shi dai gang
等事情到来时	deng shi qing dao lai shi
等使电脑	deng shi dian nao
等使唤再来	deng shi huan zai lai
等势	deng shi
等势的	deng shi de
等势集	deng shi ji
等势面	deng shi mian
等势线	deng shi xian
等势原理	deng shi yuan li
等十年未必都这样巧呢	deng shi nian wei bi dou zhe yang qiao ne
等始花期线	deng shi hua qi xian
等实囊胚	deng shi nang pei
等实物	deng shi wu
等室	deng shi
等师姐	deng shi jie
等式	deng shi
等式法	deng shi fa
等式逻辑	deng shi luo ji
等式系统	deng shi xi tong
等式约束	deng shi yue shu
等时	deng shi
等时摆	deng shi bai
等时的	deng shi de
等时对易子	deng shi dui yi zi
等时畸变度	deng shi ji bian du
等时加热	deng shi jia re
等时面	deng shi mian
等时曲线	deng shi qu xian
等时调制	deng shi tiao zhi
等时退火	deng shi tui huo
等时线	deng shi xian
等时线测年法	deng shi xian ce nian fa
等时线法	deng shi xian fa
等时线年龄	deng shi xian nian ling
等时性	deng shi xing
等时以太网	deng shi yi tai wang
等时圆	deng shi yuan
等时振荡	deng shi zhen dang
等是儿戏物	deng shi er xi wu
等是浮休无得丧	deng shi fu xiu wu de sang
等是蛮与触	deng shi man yu chu
等是气所囿	deng shi qi suo you
等是人间一陈迹	deng shi ren jian yi chen ji
等是世间无用物	deng shi shi jian wu yong wu
等是时候再来也不迟	deng shi shi hou zai lai ye bu chi
等是俗物喧	deng shi su wu xuan
等是为贫计	deng shi wei pin ji
等是新年未相见	deng shi xin nian wei xiang jian
等是一年过	deng shi yi nian guo
等是有家归未得杜鹃休向耳边啼	deng shi you jia gui wei de du juan xiu xiang er bian ti
等石	deng shi
等石头	deng shi tou
等视如荣授	deng shi ru rong shou
等视图	deng shi tu
等视线	deng shi xian
等视轴图	deng shi zhou tu
等食	deng shi
等受苦	deng shou ku
等寿命曲线	deng shou ming qu xian
等手后浮萤	deng shou hou fu ying
等收假	deng shou jia
等收益线	deng shou yi xian
等书	deng shu
等书的编写	deng shu de bian xie
等数	deng shu
等暑线	deng shu xian
等束毛隐翅虫	deng shu mao yin chi chong
等水晶复活	deng shui jing fu huo
等水岭	deng shui ling
等水容剂	deng shui rong ji
等谁了	deng shui le
等丝	deng si
等死	deng si
等死混日子一样	deng si hun ri zi yi yang
等死去	deng si qu
等死养老的	deng si yang lao de
等送水	deng song shui
等塑性应变线	deng su xing ying bian xian
等宿儒之无学	deng su ru zhi wu xue
等速采样	deng su cai yang
等速持续	deng su chi xu
等速电泳	deng su dian yong
等速肌力测定	deng su ji li ce ding
等速肌力训练	deng su ji li xun lian
等速控制	deng su kong zhi
等速流	deng su liu
等速射	deng su she
等速生长	deng su sheng zhang
等速送丝	deng su song si
等速送丝方式	deng su song si fang shi
等速送丝机构	deng su song si ji gou
等速调节	deng su tiao jie
等速万向节	deng su wan xiang jie
等速下落	deng su xia luo
等速运动	deng su yun dong
等速运动规律	deng su yun dong gui lv
等速运动轨迹	deng su yun dong gui ji
等穗薹草	deng sui tai cao
等索原食蚧蚜小蜂	deng suo yuan shi jie ya xiao feng
等他电话的了	deng ta dian hua de le
等他二人斟完起来	deng ta er ren zhen wan qi lai
等他赶出他的仇敌	deng ta gan chu ta de chou di
等他跟	deng ta gen
等他换了	deng ta huan le
等他还了所欠的债	deng ta huan le suo qian de zhai
等他还清了所欠的债	deng ta huan qing le suo qian de zhai
等他回来昂	deng ta hui lai ang
等他回来的	deng ta hui lai de
等他回来罚他	deng ta hui lai fa ta
等他回来一起吃	deng ta hui lai yi qi chi
等他们来劝咱们	deng ta men lai quan zan men
等他们散了	deng ta men san le
等他们再念一二年书再放人不迟	deng ta men zai nian yi er nian shu zai fang ren bu chi
等他那	deng ta na
等他生了头胎的儿子	deng ta sheng le tou tai de er zi
等他甩我	deng ta shuai wo
等他同意后	deng ta tong yi hou
等他晚上睡醒了	deng ta wan shang shui xing le
等他洗完澡	deng ta xi wan zao
等他一晚上	deng ta yi wan shang
等他一下午	deng ta yi xia wu
等他衣锦还乡等过一年又是一年	deng ta yi jin huan xiang deng guo yi nian you shi yi nian
等他在出出	deng ta zai chu chu
等她的答案揭晓她的睫毛弯的嘴角	deng ta de da an jie xiao ta de jie mao wan de zui jiao
等她的气消一消再去也罢了	deng ta de qi xiao yi xiao zai qu ye ba le
等她二人去远了	deng ta er ren qu yuan le
等她好了出来	deng ta hao le chu lai
等她回来我告诉她	deng ta hui lai wo gao su ta
等她们来了再吃	deng ta men lai le zai chi
等她撒村	deng ta sa cun
等她孝满了	deng ta xiao man le
等台	deng tai
等太多	deng tai duo
等太太过去了	deng tai tai guo qu le
等太太回来	deng tai tai hui lai
等太太回来的时候	deng tai tai hui lai de shi hou
等太太回来看了再收	deng tai tai hui lai kan le zai shou
等太太回去过了目好送来	deng tai tai hui qu guo le mu hao song lai
等太太来了	deng tai tai lai le
等太太气消了	deng tai tai qi xiao le
等太太醒了我就讨	deng tai tai xing le wo jiu tao
等态论	deng tai lun
等坦	deng tan
等弹性	deng tan xing
等弹性学	deng tan xing xue
等塘	deng tang
等陶辞小秩	deng tao ci xiao zhi
等特写	deng te xie
等体	deng ti
等体积	deng ti ji
等体积萃取	deng ti ji cui qu
等体积定律	deng ti ji ding lv
等体积过程	deng ti ji guo cheng
等体积线	deng ti ji xian
等梯度线	deng ti du xian
等题材	deng ti cai
等天长暖和了	deng tian chang nuan huo le
等天光	deng tian guang
等天凉了	deng tian liang le
等天暖和哈	deng tian nuan huo ha
等天上传	deng tian shang chuan
等同	deng tong
等同备宰处	deng tong bei zai chu
等同标准	deng tong biao zhun
等同对答	deng tong dui da
等同抗弯强度	deng tong kang wan qiang du
等同普通股	deng tong pu tong gu
等同手段	deng tong shou duan
等同速率	deng tong su lv
等同特征	deng tong te zheng
等同替代	deng tong ti dai
等同替代方式	deng tong ti dai fang shi
等同物	deng tong wu
等同物替换	deng tong wu ti huan
等同用	deng tong yong
等同于	deng tong yu
等同原则	deng tong yuan ze
等同原则和等同侵权	deng tong yuan ze he deng tong qin quan
等同周期	deng tong zhou qi
等同专利侵权	deng tong zhuan li qin quan
等通知放货	deng tong zhi fang huo
等通知开票	deng tong zhi kai piao
等通知上传	deng tong zhi shang chuan
等通知送	deng tong zhi song
等头	deng tou
等头成长尽生涯	deng tou cheng zhang jin sheng ya
等头鲽	deng tou die
等头干	deng tou gan
等兔子	deng tu zi
等突短头飞虱	deng tu duan tou fei shi
等突宽冠叶蝉	deng tu kuan guan ye chan
等推力法	deng tui li fa
等退色的呗	deng tui se de bei
等吞	deng tun
等外	deng wai
等外白砂糖	deng wai bai sha tang
等外板	deng wai ban
等外盖	deng wai gai
等外公路	deng wai gong lu
等外级氧化铝	deng wai ji yang hua lv
等外矿石	deng wai kuang shi
等外路	deng wai lu
等外品	deng wai pin
等外品锌	deng wai pin xin
等外婆菜	deng wai po cai
等外糖	deng wai tang
等外糖袋	deng wai tang dai
等外铁	deng wai tie
等外烟	deng wai yan
等完工吧	deng wan gong ba
等完了	deng wan le
等完了吧	deng wan le ba
等完了的	deng wan le de
等弯曲轮廓线	deng wan qu lun kuo xian
等晚会	deng wan hui
等晚间拿钱施舍罢了	deng wan jian na qian shi she ba le
等晚上饭呢	deng wan shang fan ne
等晚上想着叫人再去拿罢	deng wan shang xiang zhe jiao ren zai qu na ba
等为迁客俱逢雪	deng wei qian ke ju feng xue
等为戏剧谁能先	deng wei xi ju shui neng xian
等为造化役	deng wei zao hua yi
等位	deng wei
等位的	deng wei de
等位基因	deng wei ji yin
等位基因变异	deng wei ji yin bian yi
等位基因病	deng wei ji yin bing
等位基因等位性	deng wei ji yin deng wei xing
等位基因多样化	deng wei ji yin duo yang hua
等位基因互补	deng wei ji yin hu bu
等位基因连锁反应	deng wei ji yin lian suo fan ying
等位基因连锁分析	deng wei ji yin lian suo fen xi
等位基因酶	deng wei ji yin mei
等位基因排斥	deng wei ji yin pai chi
等位基因失活	deng wei ji yin shi huo
等位基因特异的寡核苷酸	deng wei ji yin te yi de gua he gan suan
等位基因相容	deng wei ji yin xiang rong
等位基因型	deng wei ji yin xing
等位基因置换	deng wei ji yin zhi huan
等位距	deng wei ju
等位酶	deng wei mei
等位面	deng wei mian
等位排斥	deng wei pai chi
等位片段	deng wei pian duan
等位染色单体断裂	deng wei ran se dan ti duan lie
等位染色单体缺失	deng wei ran se dan ti que shi
等位吸收波长	deng wei xi shou bo chang
等位线	deng wei xian
等位线鉝	deng wei xian li
等位性	deng wei xing
等位性试验	deng wei xing shi yan
等位子	deng wei zi
等危险物品	deng wei xian wu pin
等味	deng wei
等威	deng wei
等尾节	deng wei jie
等尾丝蚁	deng wei si yi
等尾丝蚁科	deng wei si yi ke
等纬度点	deng wei du dian
等温	deng wen
等温闭合罩	deng wen bi he zhao
等温变化	deng wen bian hua
等温变换工艺	deng wen bian huan gong yi
等温变换炉	deng wen bian huan lu
等温参数	deng wen can shu
等温参数曲线	deng wen can shu qu xian
等温操作	deng wen cao zuo
等温层	deng wen ceng
等温处理	deng wen chu li
等温淬火	deng wen cui huo
等温淬火处理	deng wen cui huo chu li
等温淬火法	deng wen cui huo fa
等温淬火钢	deng wen cui huo gang
等温大气	deng wen da qi
等温的	deng wen de
等温锻造	deng wen duan zao
等温反应	deng wen fan ying
等温反应器	deng wen fan ying qi
等温分解	deng wen fen jie
等温功率	deng wen gong lv
等温工作	deng wen gong zuo
等温过程	deng wen guo cheng
等温回火	deng wen hui huo
等温挤压	deng wen ji ya
等温渐近曲面	deng wen jian jin qu mian
等温截面	deng wen jie mian
等温节流效应	deng wen jie liu xiao ying
等温可逆反应	deng wen ke ni fan ying
等温库热	deng wen ku re
等温离解	deng wen li jie
等温马氏体	deng wen ma shi ti
等温模	deng wen mo
等温能量头	deng wen neng liang tou
等温凝固	deng wen ning gu
等温膨胀	deng wen peng zhang
等温平衡	deng wen ping heng
等温曲面	deng wen qu mian
等温曲线	deng wen qu xian
等温曲线系	deng wen qu xian xi
等温热处理	deng wen re chu li
等温热处理球墨铸铁	deng wen re chu li qiu mo zhu tie
等温剩余磁化	deng wen sheng yu ci hua
等温剩余磁化强度	deng wen sheng yu ci hua qiang du
等温生长	deng wen sheng zhang
等温调质	deng wen tiao zhi
等温退火	deng wen tui huo
等温吸附	deng wen xi fu
等温吸附式	deng wen xi fu shi
等温吸热	deng wen xi re
等温线	deng wen xian
等温线鉝	deng wen xian li
等温效率	deng wen xiao lv
等温型	deng wen xing
等温型压缩机	deng wen xing ya suo ji
等温形变曲线	deng wen xing bian qu xian
等温性食物	deng wen xing shi wu
等温压缩	deng wen ya suo
等温压缩过程	deng wen ya suo guo cheng
等温养护	deng wen yang hu
等温应变	deng wen ying bian
等温正火	deng wen zheng huo
等温止裂试验	deng wen zhi lie shi yan
等温转变	deng wen zhuan bian
等温转变产物	deng wen zhuan bian chan wu
等温转变处理	deng wen zhuan bian chu li
等温转变曲线	deng wen zhuan bian qu xian
等温转变图	deng wen zhuan bian tu
等温坐标	deng wen zuo biao
等稳你	deng wen ni
等问问	deng wen wen
等问问吧	deng wen wen ba
等我	deng wo
等我昂	deng wo ang
等我把饭奇哒捉	deng wo ba fan qi da zhuo
等我爸回来吧	deng wo ba hui lai ba
等我帮你问问	deng wo bang ni wen wen
等我抱你吧	deng wo bao ni ba
等我比完赛	deng wo bi wan sai
等我抄下本子	deng wo chao xia ben zi
等我吃好	deng wo chi hao
等我吃好饭	deng wo chi hao fan
等我出跳	deng wo chu tiao
等我从公评来	deng wo cong gong ping lai
等我打它一下	deng wo da ta yi xia
等我带上	deng wo dai shang
等我当兵回来替你打架	deng wo dang bing hui lai ti ni da jia
等我到家的	deng wo dao jia de
等我到那边去祷告	deng wo dao na bian qu dao gao
等我得便再叫你来	deng wo de bian zai jiao ni lai
等我的啊	deng wo de a
等我的吧	deng wo de ba
等我的了	deng wo de le
等我的呢	deng wo de ne
等我的哇	deng wo de wa
等我的紫鹃死了	deng wo de zi juan si le
等我儿子示拉长大	deng wo er zi shi la chang da
等我粉丝	deng wo fen si
等我复活	deng wo fu huo
等我噶	deng wo ga
等我干你满	deng wo gan ni man
等我干什么啊	deng wo gan shen me a
等我告诉你	deng wo gao su ni
等我告诉去	deng wo gao su qu
等我告诉她	deng wo gao su ta
等我告诉她就是了	deng wo gao su ta jiu shi le
等我告诉她们一声就完了	deng wo gao su ta men yi sheng jiu wan le
等我咯	deng wo ge
等我给你问问	deng wo gei ni wen wen
等我给你问问哈	deng wo gei ni wen wen ha
等我给你找找	deng wo gei ni zhao zhao
等我跟上等级	deng wo gen shang deng ji
等我跟他说说	deng wo gen ta shuo shuo
等我哈噶	deng wo ha ga
等我哈子	deng wo ha zi
等我号子	deng wo hao zi
等我好的	deng wo hao de
等我和妈再商议	deng wo he ma zai shang yi
等我和你婆婆说了	deng wo he ni po po shuo le
等我化成一股轻烟	deng wo hua cheng yi gu qing yan
等我会哈	deng wo hui ha
等我回过老太太	deng wo hui guo lao tai tai
等我回济南	deng wo hui ji nan
等我回克	deng wo hui ke
等我回来	deng wo hui lai
等我回来补上	deng wo hui lai bu shang
等我回来出去	deng wo hui lai chu qu
等我回来叫你	deng wo hui lai jiao ni
等我回了奶奶再说	deng wo hui le nai nai zai shuo
等我回明了我父亲	deng wo hui ming liao wo fu qin
等我回去回了太太	deng wo hui qu hui le tai tai
等我回去了吧	deng wo hui qu le ba
等我回去问了是谁	deng wo hui qu wen le shi shui
等我回去先	deng wo hui qu xian
等我回头看	deng wo hui tou kan
等我回郑州	deng wo hui zheng zhou
等我见到你的	deng wo jian dao ni de
等我叫出他来	deng wo jiao chu ta lai
等我叫时再来	deng wo jiao shi zai lai
等我教你	deng wo jiao ni
等我解他到该撒那里去	deng wo jie ta dao gai sa na li qu
等我进了神的圣所	deng wo jin le shen de sheng suo
等我进去这	deng wo jin qu zhe
等我就	deng wo jiu
等我就跟你说了	deng wo jiu gen ni shuo le
等我就睡觉	deng wo jiu shui jiao
等我开支	deng wo kai zhi
等我开支再说呗	deng wo kai zhi zai shuo bei
等我开资	deng wo kai zi
等我看哈	deng wo kan ha
等我看见	deng wo kan jian
等我看见你的	deng wo kan jian ni de
等我看看吧	deng wo kan kan ba
等我考虑下	deng wo kao lv xia
等我克	deng wo ke
等我空了	deng wo kong le
等我拉你们回去	deng wo la ni men hui qu
等我捞回本儿来再说话	deng wo lao hui ben er lai zai shuo hua
等我老豆	deng wo lao dou
等我咧	deng wo lie
等我领	deng wo ling
等我落班	deng wo luo ban
等我买下了	deng wo mai xia le
等我没事做了	deng wo mei shi zuo le
等我们出去了	deng wo men chu qu le
等我们到你们那里去	deng wo men dao ni men na li qu
等我们干嘛	deng wo men gan ma
等我们来再动	deng wo men lai zai dong
等我们说她	deng wo men shuo ta
等我们先去哨探哨探	deng wo men xian qu shao tan shao tan
等我们一起走	deng wo men yi qi zou
等我们一样一样	deng wo men yi yang yi yang
等我明年叫人往江南去	deng wo ming nian jiao ren wang jiang nan qu
等我明天看看吧	deng wo ming tian kan kan ba
等我明天中午	deng wo ming tian zhong wu
等我哪天去找你	deng wo na tian qu zhao ni
等我拿来你看便知	deng wo na lai ni kan bian zhi
等我能喝	deng wo neng he
等我牛逼那天的	deng wo niu bi na tian de
等我弄好了	deng wo nong hao le
等我培训完了的	deng wo pei xun wan le de
等我培养	deng wo pei yang
等我起来打不死你这小蹄子	deng wo qi lai da bu si ni zhe xiao ti zi
等我亲自让他去	deng wo qin zi rang ta qu
等我去到东府瞧瞧我们珍大奶奶	deng wo qu dao dong fu qiao qiao wo men zhen da nai nai
等我去看看	deng wo qu kan kan
等我去你那拿	deng wo qu ni na na
等我去请大夫	deng wo qu qing dai fu
等我去她家	deng wo qu ta jia
等我去问问吧	deng wo qu wen wen ba
等我撒	deng wo sa
等我设个法子回明白了	deng wo she ge fa zi hui ming bai le
等我是大老板	deng wo shi da lao ban
等我刷到	deng wo shua dao
等我刷新	deng wo shua xin
等我睡起来	deng wo shui qi lai
等我说完了	deng wo shuo wan le
等我撕他那嘴	deng wo si ta na zui
等我替你告诉	deng wo ti ni gao su
等我徒弟吧	deng wo tu di ba
等我吞噬者叠满了先	deng wo tun shi zhe die man le xian
等我哇	deng wo wa
等我娃	deng wo wa
等我为	deng wo wei
等我问哈	deng wo wen ha
等我问问	deng wo wen wen
等我问问吧	deng wo wen wen ba
等我问问哈	deng wo wen wen ha
等我问问他	deng wo wen wen ta
等我问着二姐姐去	deng wo wen zhe er jie jie qu
等我问准了好注上一笔	deng wo wen zhun le hao zhu shang yi bi
等我洗好澡	deng wo xi hao zao
等我洗完的吧	deng wo xi wan de ba
等我洗完澡着啊	deng wo xi wan zao zhe a
等我下了学再吃晚饭	deng wo xia le xue zai chi wan fan
等我想个法儿把那金线拿来	deng wo xiang ge fa er ba na jin xian na lai
等我想好的	deng wo xiang hao de
等我想想	deng wo xiang xiang
等我想一想这模子谁收着呢	deng wo xiang yi xiang zhe mu zi shui shou zhe ne
等我写篇日志	deng wo xie pian ri zhi
等我歇班	deng wo xie ban
等我信	deng wo xin
等我信儿	deng wo xin er
等我心思	deng wo xin si
等我兴起作以色列的母	deng wo xing qi zuo yi se lie de mu
等我性子上来	deng wo xing zi shang lai
等我醒来的	deng wo xing lai de
等我休班	deng wo xiu ban
等我休假了	deng wo xiu jia le
等我学到正	deng wo xue dao zheng
等我寻个地方	deng wo xun ge di fang
等我研究哈	deng wo yan jiu ha
等我研究下	deng wo yan jiu xia
等我夜里想着了	deng wo ye li xiang zhe le
等我一毕业	deng wo yi bi ye
等我一哈	deng wo yi ha
等我一哈咯	deng wo yi ha ge
等我一会来	deng wo yi hui lai
等我一秒钟	deng wo yi miao zhong
等我一起入梦	deng wo yi qi ru meng
等我一下吧	deng wo yi xia ba
等我一阵	deng wo yi zhen
等我有钱喽	deng wo you qian lou
等我有钱先	deng wo you qian xian
等我有时间的	deng wo you shi jian de
等我有限了	deng wo you xian le
等我有一日化成了飞灰	deng wo you yi ri hua cheng le fei hui
等我有一天	deng wo you yi tian
等我有这个	deng wo you zhe ge
等我余个	deng wo yu ge
等我再想想吧	deng wo zai xiang xiang ba
等我再要些来给她就是了	deng wo zai yao xie lai gei ta jiu shi le
等我再斟酌斟酌	deng wo zai zhen zhuo zhen zhuo
等我摘些下来	deng wo zhai xie xia lai
等我找着了	deng wo zhao zhao le
等我着	deng wo zhe
等我这	deng wo zhe
等我挣钱	deng wo zheng qian
等我挣钱了这	deng wo zheng qian le zhe
等我总结总	deng wo zong jie zong
等我足够好时	deng wo zu gou hao shi
等五号的	deng wu hao de
等五楼	deng wu lou
等五奶奶好些	deng wu nai nai hao xie
等唔切	deng wu qie
等无差别	deng wu cha bie
等无间缘	deng wu jian yuan
等无间缘依	deng wu jian yuan yi
等无事中说话儿回了太太也不迟	deng wu shi zhong shuo hua er hui le tai tai ye bu chi
等无憎爱	deng wu zeng ai
等物候线	deng wu hou xian
等物理系列	deng wu li xi lie
等误差分割点	deng wu cha fen ge dian
等误差值	deng wu cha zhi
等细聊	deng xi liao
等袭人回来	deng xi ren hui lai
等西山	deng xi shan
等下	deng xia
等下唉	deng xia ai
等下昂	deng xia ang
等下班的吧	deng xia ban de ba
等下包	deng xia bao
等下被	deng xia bei
等下被你	deng xia bei ni
等下被我	deng xia bei wo
等下曹	deng xia cao
等下策	deng xia ce
等下长篇就发了	deng xia chang pian jiu fa le
等下冲	deng xia chong
等下噶	deng xia ga
等下个季节	deng xia ge ji jie
等下个周	deng xia ge zhou
等下咯	deng xia ge
等下过来找你	deng xia guo lai zhao ni
等下还聊么	deng xia hai liao me
等下换地图	deng xia huan di tu
等下回的	deng xia hui de
等下进拽哥	deng xia jin zhuai ge
等下就睡的	deng xia jiu shui de
等下看	deng xia kan
等下看吧	deng xia kan ba
等下课可开了	deng xia ke ke kai le
等下你就死	deng xia ni jiu si
等下去帮你杀	deng xia qu bang ni sha
等下去哪里	deng xia qu na li
等下人家	deng xia ren jia
等下上号	deng xia shang hao
等下是	deng xia shi
等下说咯	deng xia shuo lo
等下我表弟来	deng xia wo biao di lai
等下我出去	deng xia wo chu qu
等下我过去	deng xia wo guo qu
等下我就	deng xia wo jiu
等下我再去	deng xia wo zai qu
等下午四点的吧	deng xia wu si dian de ba
等下先	deng xia xian
等下小	deng xia xiao
等下又迟到	deng xia you chi dao
等下再更	deng xia zai geng
等下再看	deng xia zai kan
等下再看看	deng xia zai kan kan
等夏天等秋天	deng xia tian deng qiu tian
等现象	deng xian xiang
等线	deng xian
等线体	deng xian ti
等线图	deng xian tu
等闲	deng xian
等闲拜日晚	deng xian bai ri wan
等闲变却故人心	deng xian bian que gu ren xin
等闲不敢将悬挂	deng xian bu gan jiang xuan gua
等闲不可寻	deng xian bu ke xun
等闲成一笑	deng xian cheng yi xiao
等闲池上留宾客	deng xian chi shang liu bin ke
等闲冲席饮多筹	deng xian chong xi yin duo chou
等闲穿破绿莓苔	deng xian chuan po lv mei tai
等闲妨了绣功夫	deng xian fang le xiu gong fu
等闲芳草斜阳	deng xian fang cao xie yang
等闲飞鞚秋原上	deng xian fei kong qiu yuan shang
等闲飞上别枝花	deng xian fei shang bie zhi hua
等闲歌舞	deng xian ge wu
等闲孤负	deng xian gu fu
等闲击碎虚空骨	deng xian ji sui xu kong gu
等闲将狎钓渔翁	deng xian jiang xia diao yu weng
等闲教见小儿郎	deng xian jiao jian xiao er lang
等闲借与莺飞	deng xian jie yu ying fei
等闲惊破纱窗梦	deng xian jing po sha chuang meng
等闲臼口坐经旬	deng xian jiu kou zuo jing xun
等闲老去年华促	deng xian lao qu nian hua cu
等闲了咱们再说话儿罢	deng xian le zan men zai shuo hua er ba
等闲雷雨起潭中	deng xian lei yu qi tan zhong
等闲离别易消魂	deng xian li bie yi xiao hun
等闲撩乱走空园	deng xian liao luan zou kong yuan
等闲莫学金华伯	deng xian mo xue jin hua bo
等闲弄水浮花片	deng xian nong shui fu hua pian
等闲抛弃生涯	deng xian pao qi sheng ya
等闲篇咏被人知	deng xian pian yong bei ren zhi
等闲平地起波澜	deng xian ping di qi bo lan
等闲亲鬓贫中白	deng xian qin bin pin zhong bai
等闲人顾稀	deng xian ren gu xi
等闲人家	deng xian ren jia
等闲人物	deng xian ren wu
等闲荣谢已愁闻	deng xian rong xie yi chou wen
等闲身度百牢关	deng xian shen du bai lao guan
等闲生白发	deng xian sheng bai fa
等闲生险易	deng xian sheng xian yi
等闲时	deng xian shi
等闲视之	deng xian shi zhi
等闲识得东风面	deng xian shi de dong feng mian
等闲收拾许多愁	deng xian shou shi xu duo chou
等闲书字满芭蕉	deng xian shu zi man ba jiao
等闲贪赏不归去	deng xian tan shang bu gui qu
等闲桃李成荆棘	deng xian tao li cheng jing ji
等闲题柱意何如	deng xian ti zhu yi he ru
等闲题作诗	deng xian ti zuo shi
等闲偷入又偷回	deng xian tou ru you tou hui
等闲为梦了	deng xian wei meng le
等闲相见莫相亲	deng xian xiang jian mo xiang qin
等闲相见销长日	deng xian xiang jian xiao chang ri
等闲消一日	deng xian xiao yi ri
等闲行尽回廊	deng xian xing jin hui lang
等闲休向俗人夸	deng xian xiu xiang su ren kua
等闲言语变瑰琦	deng xian yan yu bian gui qi
等闲一宿两年强	deng xian yi xiu liang nian qiang
